"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
"The within-subject change was significant in both VX-770 treatment groups (P = 0.008 and P = 0.03 for 150 mg and 250 mg, respectively), but not in the placebo group (P = 0.38).","The within-subject change VX-770 treatment (P = 0.008 P = 0.03 150 250 mg, respectively), placebo (P = 0.38).",G0000000|C0681850|C0392747|C0078433|C0039798|C0369773|G0000000|C1442061|C0369773|G0000000|C0450371|C1442061|C1442061|C0026410|G0000000|C0032042|C0369773|G0000000|C0450371
"Teens were randomized to a group-based intervention focusing on bone health, or a wait-list control.","Teens randomized group-based intervention focusing bone health, wait-list control.",C0205653|C0034656|C0441833|C0886296|C0000936|C0262950|C0018684|C0043010|C0243148
"On a weekly basis a dietitian monitored subjects dietary intake (24-h telephone food recall), premeal glycemia, dietary carbohydrate meal content, and insulin doses administered.","On weekly basis dietitian monitored subjects dietary intake (24-h telephone food recall), premeal glycemia, dietary carbohydrate meal content, insulin doses administered.",G0000000|C0332174|C1527178|C3536818|C0030695|C0681850|C0012155|C1512806|C0450371|C0039457|C0016452|C0034770|C1546096|C0005802|C0012155|C0007004|C1998602|C0423896|C0021641|C0178602|C1521801
"During the treatment period, patients were permitted oral corticosteroids (at a stable dose of 10 mg or less of prednisone daily or equivalent), stable doses of inhaled corticosteroids, theophylline preparations, mucolytic preparations (not containing bronchodilators), LABAs and, for acute symptom relief, as-needed salbutamol metered-dose inhaler.","During treatment period, patients permitted oral corticosteroids (at stable dose 10 prednisone daily equivalent), stable doses inhaled corticosteroids, theophylline preparations, mucolytic preparations (not bronchodilators), LABAs and, acute symptom relief, as-needed salbutamol metered-dose inhaler.",G0000000|C0039798|C0439531|C0030705|C0329040|C0442027|C0001617|G0000000|C0205360|C0178602|C0450371|C0032952|C0332173|C0205163|C0205360|C0178602|C0004048|C0001617|C0039771|C1521827|C0026698|C1521827|C1518422|C0006280|G0000000|G0000000|C0205178|C1457887|C0564405|C1879745|C0001927|C0475209|C0021461
"This study built upon previous interventions using SMS text messaging by using less study staff support, greater reliance on participants for providing group support, having a rigorous control condition which received daily SMS text messaging (non-smoking related) and the same individual smoking cessation counseling session as the intervention group.","This study built previous interventions SMS text messaging study staff support, reliance participants providing support, rigorous control condition received daily SMS text messaging (non-smoking related) individual smoking cessation counseling session intervention group.",G0000000|C0557651|C1707059|C0205156|C0886296|G0000000|C1527021|C0470166|C0557651|C0851286|C0183683|C0290627|C0679646|C1999230|C0183683|C0026837|C0243148|C0012634|C1514756|C0332173|G0000000|C1527021|C0470166|C1518422|C0439849|C0027361|C0037369|C1880019|C0010210|C1883016|C0886296|C0441833
We will conduct a parallel-arm randomised controlled trial to determine the effectiveness and cost-effectiveness of acupuncture plus usual care compared to usual care alone for the treatment of IBS.,We conduct parallel-arm randomised controlled trial determine effectiveness cost-effectiveness acupuncture usual care compared usual care treatment IBS.,G0000000|C0004927|C2348042|G0000000|C2587213|C0008976|G0000000|C1280519|C0010181|C0001299|C3538928|C1947933|C1707455|C3538928|C1947933|C0039798|C0022104
"Patients with recent symptomatic lacunar stroke were randomized to 1 of 2 levels of systolic BP (SBP) targets: lower: <130mm Hg, or higher: 130–149mm Hg.","Patients symptomatic lacunar stroke randomized 1 2 levels systolic BP (SBP) targets: lower: <130mm Hg, higher: 130–149mm Hg.",C0030705|C0231220|C0241970|C0038454|C0034656|G0000000|G0000000|C0441889|C0039155|C0037623|G0000000|C1521840|C0441994|G0000000|C0025424|C0205250|G0000000|C0025424
"The Conventional vs Laparoscopic Surgery in Colorectal Cancer (CLASICC) trial, is a UK multicentre pragmatic trial, which randomised patients between July 1996 and July 2002 to either laparoscopic surgery or an open procedure.","The Conventional Laparoscopic Surgery Colorectal Cancer (CLASICC) trial, UK multicentre pragmatic trial, randomised patients July 1996 July 2002 laparoscopic surgery procedure.",G0000000|C0439858|C0031150|C0038894|C0555952|C0006826|G0000000|C0008976|C0041700|C0439743|C0871858|C0008976|G0000000|C0030705|C3829447|G0000000|C3829447|G0000000|C0031150|C0038894|C0184661
By 12 weeks they were doing two periods of 25 minutes at an intensity that made them sweat slightly while being able to talk comfortably in complete sentences.,By 12 weeks periods 25 minutes intensity sweat talk comfortably complete sentences.,G0000000|C0450371|C0439230|C0439531|C0450371|C0439232|C0522510|C0038984|C0037817|G0000000|C0205197|C0876929
Slaughter a priori to receive oral priming with mother’s colostrum or no oral priming.,Slaughter priori receive oral priming mother’s colostrum oral priming.,G0000000|G0000000|C1514756|C0442027|C0871133|G0000000|C0009413|C0442027|C0871133
"Rosuvastatin 20 mg daily was provided for 4 weeks followed by 40 mg for a further 8 weeks, and a posttreatment follow-up of 4 weeks.","Rosuvastatin 20 daily provided 4 weeks 40 8 weeks, posttreatment follow-up 4 weeks.",C0965129|C0450371|C0332173|C1999230|G0000000|C0439230|C0450371|G0000000|C0439230|C2709088|C0589120|G0000000|C0439230
"Treatment-seeking cannabis-dependent adults (n = 38) were admitted for 8 days to an inpatient withdrawal unit and randomized to either oral lithium (500 mg) or placebo, twice daily in a double-blind RCT.","Treatment-seeking cannabis-dependent adults (n = 38) admitted 8 days inpatient withdrawal unit randomized oral lithium (500 mg) placebo, daily double-blind RCT.",C0039798|C0024808|C0001675|C0369718|G0000000|C0450371|C0184666|G0000000|C0439228|C0021562|C2349954|C0439148|C0034656|C0442027|C0023870|C1442061|C0026410|C0032042|C0332173|C0013072|G0000000
"Patients with treatment-naive, unresectable stage IIIc or IV melanoma were randomly assigned at a ratio of one to one to tremelimumab (15 mg/kg once every 90 days) or physician's choice of standard-of-care chemotherapy (temozolomide or dacarbazine).","Patients treatment-naive, unresectable stage IIIc IV melanoma randomly assigned ratio tremelimumab (15 mg/kg 90 days) physician's choice standard-of-care chemotherapy (temozolomide dacarbazine).",C0030705|C0039798|C1519810|C0205390|G0000000|C0022326|C0025202|G0000000|C1516050|C0456603|C2351038|C0450371|C0439272|C0450371|C0439228|C0031831|C0008300|C1442989|C0013216|C0076080|C0010927
"In a multicenter, double-blind, randomized study, 229 patients with mild-to-moderate active UC were assigned to 4 groups: 66 and 65 received a pH-dependent release formulation of 2.4 g/day (pH-2.4 g) or 3.6 g/day (pH-3.6 g), respectively; 65 received a time-dependent release formulation of 2.25 g/day (Time-2.25 g), and 33 received placebo (Placebo).","In multicenter, double-blind, randomized study, 229 patients mild-to-moderate active UC assigned 4 groups: 66 65 received pH-dependent release formulation 2.4 g/day (pH-2.4 g) 3.6 g/day (pH-3.6 g), respectively; 65 received time-dependent release formulation 2.25 g/day (Time-2.25 g), 33 received placebo (Placebo).",G0000000|C0439743|C0013072|C0034656|C0557651|C1442061|C0030705|C1299392|C0205177|G0000000|C1516050|G0000000|C0441833|C0450371|C0450371|C1514756|C0450407|C0030685|C0524527|G0000000|C0439417|C0450407|C0439267|G0000000|C0439417|C0450407|C0439267|G0000000|C0450371|C1514756|C0040223|C0030685|C0524527|C0450371|C0439417|C0040223|C0439267|C0450371|C1514756|C0032042|C0032042
"The trial was designed as a community-based open-label, outcome assessors-blinded randomized controlled trial with four arms: (i) single-dose albendazole (400 mg), (ii) single-dose mebendazole (500 mg), (iii) triple-dose albendazole (3×400 mg, given over 3 consecutive days), and (iv) triple-dose mebendazole (3×500 mg, given over 3 consecutive days).","The trial designed community-based open-label, outcome assessors-blinded randomized controlled trial arms: (i) single-dose albendazole (400 mg), (ii) single-dose mebendazole (500 mg), (iii) triple-dose albendazole (3×400 mg, 3 consecutive days), (iv) triple-dose mebendazole (3×500 mg, 3 consecutive days).",G0000000|C0008976|C1707689|C0009462|C1709323|C1274040|C1707957|C0034656|C2587213|C0008976|C0206655|C0021966|C0037179|C0001911|C1442061|C0026410|G0000000|C0037179|C0025023|C1442061|C0026410|C0439070|C0205174|C0001911|G0000000|C0026410|G0000000|C1707491|C0439228|C0022326|C0205174|C0025023|G0000000|C0026410|G0000000|C1707491|C0439228
The iron and zinc supplements were taken every other day from enrolment until delivery.,The iron zinc supplements day enrolment delivery.,G0000000|C0302583|C0043481|C0242295|C0332173|C1516879|C0011209
They also noted the duration of the intervention.,They duration intervention.,G0000000|C0449238|C0886296
Exclusion criteria were: 1.,Exclusion criteria were: 1.,C0680251|C0243161|G0000000|G0000000
Patients received IV natalizumab 300 mg (n = 55) or placebo (n = 55) once every 4 weeks plus GA 20 mg subcutaneously once daily for ≤20 weeks.,Patients received IV natalizumab 300 (n = 55) placebo (n = 55) 4 weeks GA 20 subcutaneously daily ≤20 weeks.,C0030705|C1514756|C0022326|C1172734|C1442061|C0369718|G0000000|C0450371|C0032042|C0369718|G0000000|C0450371|G0000000|C0439230|C0016993|C0450371|G0000000|C0332173|G0000000|C0439230
"The respective amount of change in VAS questionnaire scores regarding bowel movement regularity from before starting ingestion to after 2 weeks of ingestion and from before starting ingestion to after 4 weeks of ingestion was as follows: placebo group, 3.26 ± 14.67 mm and 8.74 ± 19.38 mm; 50 mg/day group, −1.76 ± 21.60 mm and 6.89 ± 13.42 mm; 500 mg/day group, 5.00 ± 16.06 mm and 1.85 ± 11.80 mm; 1000 mg/day group, −8.22 ± 21.51 mm and −8.82 ± 30.52 mm.","The respective amount change VAS questionnaire scores bowel movement regularity starting ingestion 2 weeks ingestion starting ingestion 4 weeks ingestion follows: placebo group, 3.26 ± 14.67 mm 8.74 ± 19.38 mm; 50 mg/day group, −1.76 ± 21.60 mm 6.89 ± 13.42 mm; 500 mg/day group, 5.00 ± 16.06 mm 1.85 ± 11.80 mm; 1000 mg/day group, −8.22 ± 21.51 mm −8.82 ± 30.52 mm.",G0000000|G0000000|C1265611|C0392747|C0042815|C0034394|C0449820|C0021853|C0026649|C0205272|C0439659|C0232478|G0000000|C0439230|C0232478|C0439659|C0232478|G0000000|C0439230|C0232478|C0332283|C0032042|C0441833|C0450371|G0000000|C0450371|G0000000|C0450371|G0000000|C0450371|G0000000|C0450371|C0439422|C0441833|G0000000|G0000000|C0450371|G0000000|C0450371|G0000000|C0450371|G0000000|C1442061|C0439422|C0441833|C0450371|G0000000|C0450371|G0000000|C0450371|G0000000|C0450371|G0000000|G0000000|C0439422|C0441833|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|C0450371|G0000000
"Antibiotic therapy in the PCT-guided group was discontinued if clinical signs and symptoms of infection improved and PCT decreased to less than 1 ng/ml, or if the PCT value was more than 1 ng/ml, but had dropped to 25 to 35% of the initial value over three days.","Antibiotic therapy PCT-guided discontinued clinical signs symptoms infection improved PCT decreased 1 ng/ml, PCT 1 ng/ml, dropped 25 35% initial days.",C0003232|C0039798|C1535922|C1444662|C0205210|C0220912|C0683368|C0009450|C0184511|C1535922|C0205216|G0000000|C0439275|C1535922|G0000000|C0439275|C1705648|C0450371|C0450371|C0205265|C0439228
"Following a 2-week open-label period on duloxetine, patients who had visual analog scale pain scores ≥ 40 and were dissatisfied with current treatment were randomized 4:1 to milnacipran 100 mg/day (n = 86) or placebo (n = 21) for 10 weeks of double-blind treatment.","Following 2-week open-label period duloxetine, patients visual analog scale pain scores ≥ 40 dissatisfied current treatment randomized 4:1 milnacipran 100 mg/day (n = 86) placebo (n = 21) 10 weeks double-blind treatment.",C0231290|C0332174|C1709323|C0439531|C0245561|C0030705|C0234621|C0243071|C0175659|C0030193|C0449820|G0000000|C0450371|C0870433|C0521116|C0039798|C0034656|G0000000|C1533126|C1442061|C0439422|C0369718|G0000000|C0450371|C0032042|C0369718|G0000000|C0450371|C0450371|C0439230|C0013072|C0039798
"In the next phase, first, the subjects slowly jogged on an electronic treadmill, which showed their heart rate and consumed calories, for seven minutes.","In phase, first, subjects slowly jogged electronic treadmill, heart rate consumed calories, minutes.",G0000000|C0205390|C0205435|C0681850|C0439834|C0022400|C0013850|C0184069|C0018787|C0871208|G0000000|C1556156|C0439232
"Naturally, VIPI parents were also free to visit other health professionals for routine care.","Naturally, VIPI parents free visit health professionals routine care.",G0000000|G0000000|C0030551|C0332296|C0545082|C0018684|C0679924|C0205547|C1947933
"The LNS provided 108 kcal and other nutrients including vitamin A, vitamin B-12, iron, and zinc at ≥80% of the recommended amounts.","The LNS provided 108 kcal nutrients including vitamin A, vitamin B-12, iron, zinc ≥80% recommended amounts.",G0000000|C0023374|C1999230|C1442061|C0439259|C0678695|C0332257|C0042890|G0000000|C0042890|C0450371|C0302583|C0043481|G0000000|C0034866|C1265611
Study participants were randomized into one of two groups: (1) music; and (2) usual care (control).,Study participants randomized groups: (1) music; (2) usual care (control).,C0557651|C0679646|C0034656|C0441833|G0000000|C0026867|G0000000|C3538928|C1947933|C0243148
The control intervention consisted of a home safety assessment.,The control intervention consisted safety assessment.,G0000000|C0243148|C0886296|C0332529|C0036043|C1261322
"A commercially available transcutaneous electrical nerve stimulator (Metron Digi-10s) has been adapted by a senior biomedical engineer to produce either a pulsed, exponentially declining waveform with a frequency of 100 Hz or a placebo device identical in appearance.","A commercially transcutaneous electrical nerve stimulator (Metron Digi-10s) adapted senior biomedical engineer produce pulsed, exponentially declining waveform frequency 100 Hz placebo device identical appearance.",G0000000|G0000000|G0000000|C0013790|C0027740|C0175727|G0000000|C0450371|C2937289|C1705825|C1879848|C0878517|G0000000|C1947910|G0000000|C1511741|C0450448|C0376249|C1442061|C0439482|C0032042|C0025080|C0205280|C0233426
"Abbreviations: CGI-BP-IM, Clinical Global Impressions for Bipolar Illness Improvement–Mania; qHS, every night at bedtime; TEAM, Treatment of Early Age Mania.","Abbreviations: CGI-BP-IM, Clinical Global Impressions Bipolar Illness Improvement–Mania; qHS, night bedtime; TEAM, Treatment Early Age Mania.",C0000723|C3639708|C0205210|C0205246|C0596764|C0443156|C0221423|G0000000|C1275563|C0240526|C0521112|C0871489|C0039798|C1279919|C0001779|C0338831
"Furthermore, overall toxicity was not reduced in the DI arm compared with the DC arm.","Furthermore, toxicity reduced DI arm compared DC arm.",G0000000|C0040539|C0392756|C3538902|C0446516|C1707455|G0000000|C0446516
"Three doses each of amitriptyline (10, 25, or 50 mg once daily at bed time) and duloxetine (20, 40, or 60 mg once daily at bed time) were used in the study.","Three doses amitriptyline (10, 25, 50 daily bed time) duloxetine (20, 40, 60 daily bed time) study.",C0205449|C0178602|C0002600|C0450371|C0450371|C0450371|C0332173|C0004916|C0040223|C0245561|C0450371|C0450371|C0450371|C0332173|C0004916|C0040223|C0557651
"To the best of our knowledge, there are few pragmatic trials of a physical activity intervention for people with CRC.","To knowledge, pragmatic trials physical activity intervention people CRC.",C0040363|C0376554|C0871858|C0008976|C0031809|C0205177|C0886296|C0027361|C0009402
"Drugs to increase blood pressure are not administered, to achieve the 130–149 target, for those participants whose systolic blood pressure is <130 mmHg and are not on blood pressure-lowering medications.","Drugs increase blood pressure administered, achieve 130–149 target, participants systolic blood pressure <130 mmHg blood pressure-lowering medications.",C0013227|C0442805|C0005767|C0033095|C1521801|G0000000|G0000000|C1521840|C0679646|C0039155|C0005767|C0033095|C1442061|C0439475|C0005767|C0033095|C0013227
Another participant in the intervention group experienced syncope during the walking exercise.,Another participant intervention experienced syncope walking exercise.,G0000000|C0679646|C0886296|C0237607|C0039070|C0080331|C0015259
"The yoga session included documented breathing practices, physical postures, meditation and relaxation techniques according to the Satyananda Yoga® tradition [23] (Table 1).","The yoga session included documented breathing practices, physical postures, meditation relaxation techniques Satyananda Yoga® tradition [23] (Table 1).",G0000000|C0043418|C1883016|C0332257|C1301725|C0004048|C0237607|C0031809|C1262869|C0150277|C0035028|C0025664|G0000000|G0000000|C0683624|C0450371|C0039224|G0000000
"Nutrition intervention (PACAM) alone, ii.","Nutrition intervention (PACAM) alone, ii.",C0028707|C0886296|G0000000|C0205171|G0000000
"Participants were randomized to either placebo, or oral cholecalciferol 2000 IU daily with dose escalation to elevate serum levels to >36 ng/ml.","Participants randomized placebo, oral cholecalciferol 2000 IU daily dose escalation elevate serum levels >36 ng/ml.",C0679646|C0034656|C0032042|C0442027|C0008318|G0000000|C0049272|C0332173|C0178602|G0000000|C0205250|C0229671|C0441889|C0450371|C0439275
For standard anticoagulation 48% (328) of the measurements were within the target international normalised ratio (2.5-3.5; 28% were too low and 24 % too high) and for low anticoagulation 75% (2475)were within target (1.1-1.6; 13% too low and 12% too high).,For standard anticoagulation 48% (328) measurements target international normalised ratio (2.5-3.5; 28% low 24 % high) low anticoagulation 75% (2475)were target (1.1-1.6; 13% low 12% high).,G0000000|C1442989|C0003281|C0450371|C1442061|C0242485|C1521840|C1512888|G0000000|C0456603|G0000000|C0450371|C0205251|C0450371|G0000000|C0205250|C0205251|C0003281|C0450371|G0000000|C1521840|G0000000|C0450371|C0205251|C0450371|C0205250
"During the roll-out of the pilot intervention, our research team measured the micronutrient status of children aged 6–11 who attended primary schools in the program area.","During roll-out pilot intervention, team measured micronutrient status children aged 6–11 attended primary schools program area.",G0000000|C0439787|C0473169|C0886296|C0871489|C0444706|C0040577|C0449438|C0008059|C0001779|G0000000|C1456498|C0205225|C0036375|C1709697|C0017446
Education through role play was conducted in the form of three scenarios during seven stages.,Education role play conducted form scenarios stages.,C0013621|C0035820|C0032214|C0004927|C0348078|C0683579|C1306673
The programme comprises seven weekly sessions of two hours and is delivered in a range of community venues by a multi-agency team of trained professionals.,The programme comprises weekly sessions hours delivered range community venues multi-agency team trained professionals.,G0000000|C1709697|C2700400|C0332174|C1883016|C0439227|C1705822|C1514721|C0009462|G0000000|C0439064|C0871489|C0336809|C0679924
The managed generic surgical waiting list works by a similar process.,The managed generic surgical waiting list process.,G0000000|C1273870|C0085155|C0543467|C1610166|C0745732|C1184743
The quality of the honey was certified in both groups and approved by the regulatory agencies and the National Health Surveillance Agency (Anvisa) for sale; the honey had been recently produced and underwent strict bacteriological control.,The quality honey certified approved regulatory agencies National Health Surveillance Agency (Anvisa) sale; honey produced underwent strict bacteriological control.,G0000000|C0332306|C0019906|C0007836|C0205540|C0220905|C0237463|C3245503|C0018684|C0220920|C0237463|G0000000|C0036070|C0019906|G0000000|G0000000|G0000000|C0205465|C0243148
"The trial intervention will consist of capsules containing 200 mcg of selenium in the form of selenium yeast, which contains selenomethionine.","The trial intervention consist capsules 200 mcg selenium form selenium yeast, selenomethionine.",G0000000|C0008976|C0886296|C0332529|C0006935|C1442061|C0439211|C0036581|C0348078|C0036581|C0036025|C0036584
The experimental group received 1 mg/kg ketorolac within 15 minutes of case completion as well as local anesthetic infiltration.,The experimental received 1 mg/kg ketorolac 15 minutes completion local anesthetic infiltration.,G0000000|C1517586|C1514756|G0000000|C0439272|C0073631|C0450371|C0439232|C0205197|C0205276|C0002932|C0332448
"A disperse-dense wave, 2/15 Hz, was used, and the current was controlled within tolerance (skin micromovement).","A disperse-dense wave, 2/15 Hz, used, current controlled tolerance (skin micromovement).",G0000000|C0332624|C0678544|C0450371|C0439482|C1273517|C0521116|C2587213|C0013220|C0444099|G0000000
All patients were managed with the same daily awakening-spontaneous breathing trial (DA-SBT) protocol (22).,All patients managed daily awakening-spontaneous breathing trial (DA-SBT) protocol (22).,G0000000|C0030705|C1273870|C0332173|C1720052|C0004048|C0008976|C0011318|C0442711|C0450371
OBJECTIVE—Experimental evaluation of comprehensive community wide programme to prevent adolescent tobacco use.,OBJECTIVE—Experimental evaluation comprehensive community wide programme prevent adolescent tobacco use.,G0000000|C0220825|C1880156|C0009462|C0332464|C1709697|C0309872|C0205653|C0040329|C0042153
cP-Value = 0.51 for vaccine vs placebo in subjects 9 to 12 y old.,cP-Value = 0.51 vaccine placebo subjects 9 12 old.,C4050020|G0000000|C0450371|C0042210|C0032042|C0681850|G0000000|C0450371|C0580836
"Each patient was randomly assigned to have intramuscular or intranasal administration of 0.2 mg/kg of midazolam, as recommended by previous investigators.7,8 Of the 23 patients, 12 received intramuscular midazolam, and 11 received intranasal midazolam.","Each patient randomly assigned intramuscular intranasal administration 0.2 mg/kg midazolam, recommended previous investigators.7,8 Of 23 patients, 12 received intramuscular midazolam, 11 received intranasal midazolam.",G0000000|C0030705|G0000000|C1516050|C0021492|C0442118|C0001554|G0000000|C0439272|C0026056|C0034866|C0205156|C0035173|G0000000|C0450371|C0030705|C0450371|C1514756|C0021492|C0026056|C0450371|C1514756|C0442118|C0026056
This was followed by oral warfarin given as a single morning dose to maintain the thrombotest at 30 to 50% for 23 months.,This oral warfarin single morning dose maintain thrombotest 30 50% 23 months.,G0000000|C0442027|C0043031|C0037179|C0332170|C0178602|C0024501|C0087085|C0450371|C0450371|C0450371|C0439231
"After a discontinuation period of at least 7 days from any previous analgesic treatment and between treatments, each patient received the following three consecutive treatments regimes: Celecoxib (approximately 3–6 mg/kg/die) + placebo; Pregabalin (approximately 1 mg/kg/die the first week and then 2–4 mg/kg/die) + placebo; Celecoxib (approximately 3–6 mg/kg/die) plus pregabalin (approximately 1 mg/kg/die the first week and then 2–4 mg/kg/die).","After discontinuation period 7 days previous analgesic treatment treatments, patient received consecutive treatments regimes: Celecoxib (approximately 3–6 mg/kg/die) + placebo; Pregabalin (approximately 1 mg/kg/die week 2–4 mg/kg/die) + placebo; Celecoxib (approximately 3–6 mg/kg/die) pregabalin (approximately 1 mg/kg/die week 2–4 mg/kg/die).",G0000000|C0457454|C0439531|G0000000|C0439228|C0205156|C0002771|C0039798|C0087111|C0030705|C1514756|C1707491|C0087111|G0000000|C0538927|C0332232|G0000000|C0439272|G0000000|C0032042|C0657912|C0332232|G0000000|C0439272|C0332174|G0000000|C0439272|G0000000|C0032042|C0538927|C0332232|G0000000|C0439272|C0657912|C0332232|G0000000|C0439272|C0332174|G0000000|C0439272
"In addition, goals of care were discussed.","In addition, goals care discussed.",G0000000|C0332287|C0018017|C1947933|C2584313
"Using a multi-domain neuropsychological evaluation as an outcome measure, when compared to an active control group, we expected a physical activity group to show improvements in attentional and executive function processes (Kramer et al., 1999; Colcombe et al., 2004); a cognitive training group to show improvements on speed of information processing (Ball et al., 2002), visuospatial working memory, learning, and focused attention (Peretz et al., 2011); and a combined intervention group to display improvements on the same cognitive abilities as both the single intervention groups.","Using multi-domain neuropsychological evaluation outcome measure, compared active control group, expected physical activity improvements attentional executive function processes (Kramer al., 1999; Colcombe al., 2004); cognitive training improvements speed processing (Ball al., 2002), visuospatial memory, learning, focused attention (Peretz al., 2011); combined intervention display improvements cognitive abilities single intervention groups.",C1524063|C0439064|G0000000|C0220825|C1274040|C0079809|C1707455|C0205177|C0243148|C0441833|C1517001|C0031809|C0205177|C2986411|C0004268|C0871735|C0031843|C1184743|C0331847|C0202311|G0000000|G0000000|C0202311|G0000000|C1516691|C0040607|C2986411|C0678536|C1709694|C1706910|C0202311|G0000000|G0000000|C0025260|C0013621|C0205234|C0004268|G0000000|C0202311|G0000000|C0205195|C0886296|C1705417|C2986411|C1516691|C0085732|C0037179|C0886296|C0441833
"resuming daily activities and routines, participation in community activities or local exercise classes).","resuming daily activities routines, participation community activities local exercise classes).",C1550028|C0332173|C0441655|C0205547|C0679823|C0009462|C0441655|C0205276|C0015259|C0456387
"than washed and unwashed PermaNet® 2.0, washed PermaNet® 3.0 and the CTN.","washed unwashed PermaNet® 2.0, washed PermaNet® 3.0 CTN.",C1548982|G0000000|G0000000|G0000000|C1548982|G0000000|G0000000|C0917591
"During each home visit, the participating foster parent (primary caregiver) and child are filmed during daily situations for 10 to 30 min, such as playing, mealtime or reading a book together.","During visit, participating foster parent (primary caregiver) child filmed daily situations 10 30 min, playing, mealtime reading book together.",G0000000|C0545082|C0679823|C0242298|C0030551|C0205225|C0085537|C0008059|C0086296|C0332173|G0000000|C0450371|C0450371|C0702093|C0032214|C0587119|C0034754|C0006002|C1883357
"The diet is not prescriptive, as goals will be negotiated individually with each participant during their first session and reviewed at each visit.","The diet prescriptive, goals negotiated individually participant session reviewed visit.",G0000000|C0012155|G0000000|C0018017|C0680727|G0000000|C0679646|C1883016|C0282443|C0545082
"Patients were stratified according to treatment centre and prior adjuvant chemotherapy (yes or no), then randomised to immediate treatment (to begin within 2 weeks) or treatment delayed until the development of symptoms.","Patients stratified treatment centre prior adjuvant chemotherapy (yes no), randomised treatment (to 2 weeks) treatment delayed development symptoms.",C0030705|C0205363|C0039798|C0205099|C0332152|C0001551|C0013216|C1549445|G0000000|G0000000|C0039798|G0000000|G0000000|C0439230|C0039798|C0205421|C0243107|C0683368
We investigated the effect of Hcy-lowering vitamin B12 and folic acid treatment on bone mineral density (BMD) and calcaneal quantitative ultrasound (QUS) parameters.,We investigated Hcy-lowering vitamin B12 folic acid treatment bone mineral density (BMD) calcaneal quantitative ultrasound (QUS) parameters.,G0000000|C1292732|C0019878|C0042890|G0000000|G0000000|C0001128|C0039798|C0262950|C0006660|C0178587|G0000000|C0006655|C0392762|C0041618|G0000000|C0449381
"PANVAC is a recombinant poxviral vaccine that contains transgenes for MUC-1, CEA and 3 T-cell costimulatory molecules.","PANVAC recombinant poxviral vaccine transgenes MUC-1, CEA 3 T-cell costimulatory molecules.",G0000000|C1514798|G0000000|C0042210|C0282641|G0000000|C3463961|G0000000|C0039194|G0000000|C0567416
"Objective To assess the effectiveness of an activity programme in improving function, quality of life, and falls in older people in residential care.","Objective To assess effectiveness activity programme improving function, quality life, falls people residential care.",C0018017|C0040363|C1516048|C1280519|C0205177|C1709697|C1272745|C0031843|C0332306|C0376558|C0000921|C0027361|C0237096|C1947933
"At completion of the intervention period, control services were offered the complete intervention.","At completion intervention period, control services offered complete intervention.",G0000000|C0205197|C0886296|C0439531|C0243148|C0557854|C1444648|C0205197|C0886296
The mean total treatment duration was 10 weeks (range: 3.7–12 weeks).,The total treatment duration 10 weeks (range: 3.7–12 weeks).,G0000000|C0439175|C0039798|C0449238|C0450371|C0439230|C1514721|G0000000|C0439230
Such findings can provide the evidence on whether a culturally generic intervention effects a change on Asian participants through family relationships pathways.,Such findings provide evidence culturally generic intervention effects change Asian participants family relationships pathways.,G0000000|C2607943|C1999230|C3887511|C0010453|C0085155|C0886296|C1280500|C0392747|C0078988|C0679646|C0015576|C0439849|C1704259
"In patients with stable or increasing serum ferritin trends, the initial dose could be increased by 5 or 10 mg/kg per d, whereas the dose was maintained in patients who had declining serum ferritin trends during the core.","In patients stable increasing serum ferritin trends, initial dose increased 5 10 mg/kg d, dose maintained patients declining serum ferritin trends core.",G0000000|C0030705|C0205360|C0442808|C0229671|C0015879|C0040833|C0205265|C0178602|C0205217|G0000000|C0450371|C0439272|C0073187|C0178602|C1314677|C0030705|C1511741|C0229671|C0015879|C0040833|C0444669
"However, control group data indicate that comfort also improves through usual training coupled with didactic education.","However, control data comfort improves usual training coupled didactic education.",G0000000|C0243148|C1511726|C1331418|C0184511|C3538928|C0040607|C1948027|G0000000|C0013621
"Both study groups exhibited comparable numbers of mild-to-moderate adverse effects (24 on 700 mg/daily of NAC, and 24 on 2800 mg/daily of NAC; p > 0.5).","Both study exhibited comparable mild-to-moderate adverse effects (24 700 mg/daily NAC, 24 2800 mg/daily NAC; > 0.5).",G0000000|C0557651|C0015272|G0000000|C1299392|G0000000|C1280500|C0450371|C1442061|C0026410|C3538756|C0450371|G0000000|C0026410|C3538756|G0000000|G0000000
"Added salt and refined fats, as well as sugar, were excluded from both diets.","Added salt refined fats, sugar, excluded diets.",C1524062|C0036140|C1947930|C0015677|C0007004|C1554077|C0012155
"In a randomized, controlled, phase II trial, 110 patients with progressive GBM after prior radiotherapy were randomly assigned to either erlotinib or a control arm that received treatment with either temozolomide or carmustine (BCNU).","In randomized, controlled, phase II trial, 110 patients progressive GBM prior radiotherapy randomly assigned erlotinib control arm received treatment temozolomide carmustine (BCNU).",G0000000|C0034656|C2587213|C0205390|G0000000|C0008976|C1442061|C0030705|C0205329|G0000000|C0332152|C0034619|G0000000|C1516050|C1135135|C0243148|C0446516|C1514756|C0039798|C0076080|C0007257|C0007257
