"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"In studies showing that internalizing problems was related a lower likelihood of future externalizing problems, the effect was found from adolescence (age 14 to 17) to young adulthood (age 20 to 22) but was not significant when externalizing behavior was measured in adolescence, as in our study (Burt et al., 2008; Masten et al., 2005; Pine et al., 2000).","In studies internalizing lower likelihood future externalizing problems, adolescence (age 14 17) adulthood (age 20 22) externalizing behavior measured adolescence, study (Burt al., 2008; Masten al., 2005; Pine al., 2000).",G0000000|C0947630|G0000000|C0441994|C0033204|C0016884|G0000000|C1546466|C0001578|C0001779|C0450371|C0450371|C0700597|C0001779|C0450371|C0450371|G0000000|C0004927|C0444706|C0001578|C0557651|G0000000|C0202311|G0000000|G0000000|C0202311|G0000000|C0330186|C0202311|G0000000
A comparison of baseline characteristics across each genotype and locus revealed statistically significant differences in fat intake (as a percentage of total caloric intake) across DRD2 rs1799732 and rs6277 genotypes (Table 3).,A comparison baseline characteristics genotype locus revealed statistically differences fat intake (as percentage total caloric intake) DRD2 rs1799732 rs6277 genotypes (Table 3).,G0000000|C1707455|C0168634|C1521970|C0017431|C1708726|C0443289|C0038215|C1705241|C0424612|C1512806|G0000000|C0439165|C0439175|G0000000|C1512806|G0000000|G0000000|G0000000|C0017431|C0039224|G0000000
The effect of compression stockings (CS) and continuous positive airway pressure (CPAP) on fluid shift is barely known.,The compression stockings (CS) continuous positive airway pressure (CPAP) fluid shift barely known.,G0000000|C0332459|C0453908|C0010182|C0549178|C0439178|C0178987|C0033095|C0199451|C0005889|C0333051|G0000000|C0205309
"The sanitation intervention's primary behavior change messages emphasized preventing fecal contamination of the environment and safe removal of feces (human and animal) from the environment facilitated by the potty, sani-scooper, and latrine.","The sanitation intervention's primary behavior change messages emphasized preventing fecal contamination environment safe removal feces (human animal) environment facilitated potty, sani-scooper, latrine.",G0000000|C0036172|C0886296|C0205225|C0004927|C0392747|C0470166|G0000000|C0309872|C0015733|C0259846|C0014406|G0000000|C0015252|C0015733|C0086418|C0003062|C0014406|G0000000|G0000000|G0000000|C0023124
"In all 11 patients in whom the initial ALT failed, the catheter could be successfully inserted on the same side with the use of USG, indicating that placement of a catheter under USG guidance is technically easier because the procedure is performed under direct vision.","In 11 patients initial ALT failed, catheter inserted USG, indicating placement catheter USG guidance technically easier procedure performed direct vision.",G0000000|C0450371|C0030705|C0205265|C1266129|C0231175|C0085590|C0441587|G0000000|G0000000|C0441587|C0085590|G0000000|C0150600|G0000000|C0332219|C0184661|C0884358|C0439851|C0042789
"In order to provide the greatest power to detect differences by maximizing the degrees of freedom associated with the estimated mean square error, peripheral refraction at each gaze direction and location will be used in the analysis rather than obtaining an average peripheral refractive error across direction and location.","In provide power detect differences maximizing degrees freedom estimated square error, peripheral refraction gaze direction location analysis obtaining average peripheral refractive error direction location.",G0000000|C1999230|C0032863|C0442726|C1705241|G0000000|C0449286|C0016694|C0750572|C0205120|C0743559|C0205100|C0429585|C0553544|C0449738|C0450429|C0002778|C1301820|C1510992|C0205100|C0429585|C0743559|C0449738|C0450429
"1 is as follows: (DAC) intravenous decitabine 20 mg/m2 over 1 h, 5 days (total dose 100 mg/m2), repeated every 4 weeks; (DAC + VPA) intravenous decitabine 20 mg/m2 over 1 h, 5 days (total dose 100 mg/m2), repeated every 4 weeks, and VPA (p.o.)","1 follows: (DAC) intravenous decitabine 20 mg/m2 1 h, 5 days (total dose 100 mg/m2), repeated 4 weeks; (DAC + VPA) intravenous decitabine 20 mg/m2 1 h, 5 days (total dose 100 mg/m2), repeated 4 weeks, VPA (p.o.)",G0000000|C0332283|G0000000|C0348016|C0049065|C0450371|C0026410|G0000000|C0033727|G0000000|C0439228|C0439175|C0178602|C1442061|C0026410|C0205341|G0000000|C0439230|G0000000|C0348016|C0049065|C0450371|C0026410|G0000000|C0033727|G0000000|C0439228|C0439175|C0178602|C1442061|C0026410|C0205341|G0000000|C0439230|G0000000|C0369773
"Abbreviations: BFI, Brief Fatigue Inventory; BP, Medical Outcomes Study 36-Item Short-Form Survey (SF-36) Bodily Pain; CES-D, Center for Epidemiologic Studies-Depression; GH, SF-36 General Health; MCS, SF-36 Mental Component Score; PCS, SF-36 Physical Component Score; PF, SF-36 Physical Functioning; PSQI, Pittsburg Sleep Quality Index; RP, SF-36 Role-physical; ST, stretching; WL, waitlist; YG, yoga.","Abbreviations: BFI, Brief Fatigue Inventory; BP, Medical Outcomes Study 36-Item Short-Form Survey (SF-36) Bodily Pain; CES-D, Center Epidemiologic Studies-Depression; GH, SF-36 General Health; MCS, SF-36 Mental Component Score; PCS, SF-36 Physical Component Score; PF, SF-36 Physical Functioning; PSQI, Pittsburg Sleep Quality Index; RP, SF-36 Role-physical; ST, stretching; WL, waitlist; YG, yoga.",C0000723|C2698562|C1282927|C0015672|C0021941|C0037623|C0199168|C1274040|C0557651|C0450371|C2964478|C0038951|C0037712|G0000000|C0030193|C2699160|C0205099|C0014507|C0947630|C0033993|C0037712|C0205246|C0018684|G0000000|C0037712|C0229992|C0449432|C0449820|C1864389|C0037712|C0031809|C0449432|C0449820|C3815179|C0037712|C0031809|C0205245|C3697468|G0000000|C0037313|C0332306|C0918012|C0031529|C0037712|C0035820|C0036056|C0600080|G0000000|C0043010|C1883582|C0043418
Radiographic characteristics of the lesions * Patients with local recurrence; F = female; M = male.,Radiographic characteristics lesions * Patients local recurrence; F = female; M = male.,C0444708|C1521970|C0221198|G0000000|C0030705|C0205276|C0034897|C0016327|G0000000|C0015780|C0369637|G0000000|C0086582
"At the start of the program, the participants will receive a step counter (Omron Walking Style Pro) with the motivational purpose of physical and behavioral awareness and activation [44].","At start program, participants receive step counter (Omron Walking Style Pro) motivational purpose physical behavioral awareness activation [44].",G0000000|C0439659|C1709697|C0679646|C1514756|C1261552|C0677601|G0000000|C0080331|C0489654|C0033382|C0026605|C1285529|C0031809|C0004927|C0004448|C1879547|C0450371
Objective tumor response was evaluated by blinded radiologists using RECIST every 4 weeks until progression.,Objective tumor response evaluated blinded radiologists RECIST 4 weeks progression.,C0018017|C0027651|C0871261|C0220825|C0150108|C0260194|C1709926|G0000000|C0439230|C0242656
Patients were evaluated every 2 weeks during the “induction” and “rest” phases and then every 4 weeks during the maintenance phase.,Patients evaluated 2 weeks “induction” “rest” phases 4 weeks maintenance phase.,C0030705|C0220825|G0000000|C0439230|G0000000|G0000000|C0585064|G0000000|C0439230|C0024501|C0205390
"The starting daily dose of thalidomide was 200 mg orally beginning on the day of bevacizumab loading, followed by escalation in 100-mg increments every 2 weeks to a maximum of 800 mg per day.","The starting daily dose thalidomide 200 orally day bevacizumab loading, escalation 100-mg increments 2 weeks maximum 800 day.",G0000000|C0439659|C0332173|C0178602|C0039736|C1442061|C0442027|C0332173|C0796392|C1708715|G0000000|C1442061|C1705117|G0000000|C0439230|C0806909|C1442061|C0332173
"Cancer-related fatigue is one of the most prevalent, prolonged and distressing side effects of prostate cancer treatment with androgen deprivation therapy.","Cancer-related fatigue prevalent, prolonged distressing effects prostate cancer treatment androgen deprivation therapy.",C2826292|C0015672|C0033105|C0439590|C0231303|C1280500|C0033572|C0006826|C0039798|C0002844|C0871712|C0039798
"The possible protective effect of tea consumption on various cancers has been evaluated in recent years, especially for green tea.","The protective tea consumption cancers evaluated years, green tea.",G0000000|G0000000|C0039400|C0009830|C0006826|C0220825|C0439234|C0332583|C0039400
"[10] showed that pharmaceutical counselling before discharge, together with a medication and information discharge summary and a medicine reminder chart lead to better drug knowledge and compliance and a reduction of readmissions.","[10] pharmaceutical counselling discharge, medication discharge summary medicine reminder chart lead drug knowledge compliance reduction readmissions.",C0450371|C0031336|C0010210|C0012621|C0013227|C0012621|C1552616|C0013227|C1709896|C0007963|C0023175|C0013227|C0376554|C0009563|C0301630|G0000000
"Effect sizes were calculated as the ratio of the differences between change scores in the South, North, and at large divided by residualized standard deviations of the measured outcomes over time.","Effect sizes calculated ratio differences change scores South, North, divided residualized standard deviations measured outcomes time.",C1280500|C0456389|C0444686|C0456603|C1705241|C0392747|C0449820|C1710133|C1709269|C0332849|G0000000|C1442989|C0012727|C0444706|C1274040|C0040223
"The median time to sputum culture conversion was 39 days (IQR, 21–76.5; 6 missing data) (Table (Table1).1).","The median time sputum culture conversion 39 days (IQR, 21–76.5; 6 missing data) (Table (Table1).1).",G0000000|C0549183|C0040223|C0038056|C0010453|C0439836|C0450371|C0439228|G0000000|G0000000|G0000000|C1551393|C1511726|C0039224|G0000000
Therapists need to invest considerable time to deliver these sessions and a limited number of trained cognitive behavioral therapists provide this F2F therapy.,Therapists invest considerable time deliver sessions limited trained cognitive behavioral therapists provide F2F therapy.,C0871525|G0000000|G0000000|C0040223|C0308779|C1883016|C0439801|C0336809|C1516691|C0004927|C0871525|C1999230|G0000000|C0039798
"Table 11 shows the effect of diamorphine, regardless of dose (data combined for either 1 mg or 2 mg), on standard cardiopulmonary exercise parameters.","Table 11 diamorphine, dose (data combined 1 2 mg), standard cardiopulmonary exercise parameters.",C0039224|C0450371|C0011892|C0178602|C1511726|C0205195|G0000000|G0000000|C0026410|C1442989|C0553534|C0015259|C0449381
"A consultation in the hospital’s “Center for Shared Decision Making” is mandatory, for example, for breast cancer patients who take part in the Comprehensive Breast Program.","A consultation hospital’s “Center Shared Decision Making” mandatory, example, breast cancer patients Comprehensive Breast Program.",G0000000|C0009818|G0000000|G0000000|C0237876|C0679006|G0000000|C1514873|C1707959|C0006141|C0006826|C0030705|C1880156|C0006141|C1709697
"Unless disapproved by the physician, an invitation letter was then mailed to the participant, followed by a telephone call to assess interest and eligibility.","Unless disapproved physician, invitation letter mailed participant, telephone call assess eligibility.",G0000000|C2347711|C0031831|C2826348|C1096774|C0024492|C0679646|C0039457|C0679006|C1516048|C0013893
The questionnaire used to measure green-tea consumption had a reasonably high level of validity and reproducibility.,The questionnaire measure green-tea consumption level validity reproducibility.,G0000000|C0034394|C0079809|C1384640|C0009830|C0441889|C2349101|C1514863
Prognostic value of Vitamin D level for gestational diabetes prediction The prognostic value of Vitamin D level for gestational diabetes prediction was evaluated using regression analysis.,Prognostic Vitamin D level gestational diabetes prediction The prognostic Vitamin D level gestational diabetes prediction evaluated regression analysis.,C0220901|C0042890|C0073187|C0441889|C0439671|C0011847|C0681842|G0000000|C0220901|C0042890|C0073187|C0441889|C0439671|C0011847|C0681842|C0220825|C0684320|C0002778
"We evaluated safety and efficacy of recombinant human growth hormone (rhGH) for improving growth, lean body mass (LBM), pulmonary function, and exercise tolerance in children with cystic fibrosis (CF) and growth restriction.","We evaluated safety efficacy recombinant human growth hormone (rhGH) improving growth, lean body mass (LBM), pulmonary function, exercise tolerance children cystic fibrosis (CF) growth restriction.",G0000000|C0220825|C0036043|C1280519|C1514798|C0086418|C0018270|C0019932|C0169964|C1272745|C0018270|G0000000|C0242821|C0577559|C0424678|C0024109|C0031843|C0015259|C0013220|C0008059|C0205207|C0016059|C0009738|C0018270|C0443288
A survival curve will be performed with the Kaplan-Meier estimator and the log-rank test will be used to compare groups.,A survival curve performed Kaplan-Meier estimator log-rank test compare groups.,G0000000|C0038952|C0205134|C0884358|G0000000|C0401805|C1708728|C0022885|C1707455|C0441833
No effect of ambient light reduction on the incidence of retinopathy of prematurity was shown.,No ambient light reduction incidence retinopathy prematurity shown.,G0000000|C1879688|C0023693|C0301630|C0021149|C0035309|C0021294|C1547282
"The mature form of EMAP II (mEMAP II) has been shown to induce distal alveolar dysplasia, however the mechanism associated with its inhibition of alveoli is poorly understood.","The mature form EMAP II (mEMAP II) induce distal alveolar dysplasia, mechanism inhibition alveoli understood.",G0000000|C0205286|C0348078|C1414385|G0000000|G0000000|G0000000|C0205263|C0205108|C1440080|C0334044|C0441712|C0021467|C1515933|C0162340
Changes (Δ) in exercise capacity and muscle strength in COPD patients after hf-NMES and sham stimulation.,Changes (Δ) exercise capacity muscle strength COPD patients hf-NMES sham stimulation.,C0392747|G0000000|C0015259|C1516240|C0026845|C0237897|C0024117|C0030705|C0018488|C0068899|C1292856
Vest was connected by two tubes to the air-pulse generator and inflated by a constant positive pressure with a 15-20 Hz frequency of air pressure oscillations.,Vest connected tubes air-pulse generator inflated constant positive pressure 15-20 Hz frequency air pressure oscillations.,C0453884|C2986575|C0175730|C0001861|C0237638|C0021398|C1547014|C0439178|C0033095|C0450371|C0439482|C0376249|C0001861|C0033095|C0695434
Their cycloplegic refraction and axial length (AXL) were followed up every 6 months over 2 years.,Their cycloplegic refraction axial length (AXL) 6 months 2 years.,G0000000|C0010586|C0429585|C0205131|C1444754|C1259415|G0000000|G0000000
MI = motivational interviewing; RT = relaxation training; dep.,MI = motivational interviewing; RT = relaxation training; dep.,C3810814|G0000000|C0026605|C0021822|C0230425|G0000000|C0035028|C0040607|C0057472
139/219 adverse events were classified as serious - 85 in the placebo and 54 in the thymostimulin group.,139/219 adverse events classified - 85 placebo 54 thymostimulin group.,C1442061|G0000000|C0441471|C0008902|G0000000|C0450371|C0032042|C0450371|C0076625|C0441833
Efficacy analyses were performed on the 245 ITT patients.,Efficacy analyses performed 245 ITT patients.,C1280519|C0002778|C0884358|C1442061|G0000000|C0030705
"Forced vital capacity (FVC) and forced expiratory volume in one second (FEV1) were measured by means of a mini-Wright spirometer at baseline, at the end of the dieting period, at the end of the 14 week weight reduction programme, at six months, and at one year.","Forced vital capacity (FVC) forced expiratory volume (FEV1) measured mini-Wright spirometer baseline, dieting period, 14 week weight reduction programme, months, year.",C0441722|C0442732|C1516240|C3714541|C0441722|C0231800|C0449468|G0000000|C0444706|C0445542|C0183441|C0168634|C2945766|C0439531|C0450371|C0332174|C0005910|C0301630|C1709697|C0439231|C0439234
Participants who required ongoing inpatient care were reviewed by a member of the study team daily until discharge.,Participants required ongoing inpatient care reviewed study team daily discharge.,C0679646|C1514873|C0549178|C0021562|C1947933|C0282443|C0557651|C0871489|C0332173|C0012621
"Ascaris lumbricoides accounts for the majority of these infections, with an estimated one billion individuals infected [9].","Ascaris lumbricoides accounts majority infections, estimated billion individuals infected [9].",C0003954|G0000000|C2741673|C0680220|C3714514|C0750572|G0000000|C0027361|C0439663|G0000000
One collection in the stented group and 4 collections in the non-stented group turned out to be infected by either blood culture or culture of aspiration of the collection.,One collection stented 4 collections non-stented infected blood culture culture aspiration collection.,C0205447|C1516698|C0038257|G0000000|C0600644|C1518422|C0439663|C0005767|C0010453|C0010453|C0220787|C1516698
The effect of an in-hospital exercise training programme on physical activity will be analysed in the same way as physical fitness.,The in-hospital exercise training programme physical activity analysed physical fitness.,G0000000|C0019994|C0015259|C0040607|C1709697|C0031809|C0205177|G0000000|C0031809|C1456706
"2) Traditional nutrition education (EFNEP, the Expanded Food and Nutrition Education Program, a standard nutrition education curriculum offered in each state through county Cooperative Extension Service programs) consisting of six in-home nutrition education lessons delivered by a paraprofessional instructor prior to when the infant is 6 months of age that does not include extensive content on infant-centered feeding.","2) Traditional nutrition education (EFNEP, Expanded Food Nutrition Education Program, standard nutrition education curriculum offered county Cooperative Extension Service programs) consisting in-home nutrition education lessons delivered paraprofessional instructor prior infant 6 months age extensive content infant-centered feeding.",G0000000|C0443324|C0028707|C0013621|G0000000|C0205229|C0016452|C0028707|C0013621|C1709697|C1442989|C0028707|C0013621|C0010478|C1444648|C0079170|C0679729|C0231448|C0557854|C0376691|C0332529|C0150312|C0028707|C0013621|G0000000|C1705822|C0682210|C0221457|C0332152|C0021270|G0000000|C0439231|C0001779|C0205231|C0423896|C0021270|C0204695
"NutriRice was produced by hot extrusion by Buhler Food, Wuxi, China.","NutriRice produced hot extrusion Buhler Food, Wuxi, China.",G0000000|G0000000|C0444519|C0443213|G0000000|C0016452|G0000000|C0008115
RP ran the study and provided comments on the manuscript.,RP study provided comments manuscript.,C0031529|C0557651|C1999230|C0282411|C0600659
"During irradiation, diarrhea occurred in all patients.","During irradiation, diarrhea occurred patients.",G0000000|C1282930|C0011991|C1709305|C0030705
"We have previously documented the effectiveness of this intervention, which delivered a 2‐month supply of Sprinkles, 1 in reducing anaemia for up to 7 months post intervention among children of 9–24 months of age (Menon et al.","We documented effectiveness intervention, delivered 2‐month supply Sprinkles, 1 reducing anaemia 7 months post intervention children 9–24 months age (Menon et al.",G0000000|C1301725|C1280519|C0886296|C1705822|G0000000|C0243163|C1720266|G0000000|C0392756|C0002871|G0000000|C0439231|C0687676|C0886296|C0008059|G0000000|C0439231|C0001779|C1425409|G0000000
The materials were fixed as curtains to the right and left sides of the phototherapy unit.,The materials fixed curtains left phototherapy unit.,G0000000|C0520510|C0443218|C0180239|C0205091|C0031765|C0439148
"While results strongly support this modality of school feeding, research on the cognitive impacts of micronutrient fortified biscuits will help clarify the case for scaled-up investments in school- based feeding program in Bangladesh and other low and middle income countries.","While support modality school feeding, cognitive impacts micronutrient fortified biscuits clarify scaled-up investments school- based feeding program Bangladesh low middle income countries.",G0000000|C0183683|C0695347|C0036375|C0204695|C1516691|C1825598|C0040577|G0000000|C0452501|C2986669|C0175659|C0021953|C0036375|C1527178|C0204695|C1709697|C0004732|C0205251|C0444598|C0021162|C0454664
Ultralow anterior resection is a well-recognized surgical technique for effective excision of mid- to low rectal cancer and also restoration of bowel continuity.,Ultralow anterior resection well-recognized surgical technique effective excision mid- low rectal cancer restoration bowel continuity.,G0000000|C0205094|C0015252|C0205170|C0543467|C0449851|C1280519|C0015252|C0444598|C0205251|C0205052|C0006826|C0449982|C0021853|C0595960
The HVRA will assist the participant in collecting 20 mL hand expressed breast milk at 14 d and 3 mo postpartum.,The HVRA assist participant collecting 20 mL hand expressed breast milk 14 3 mo postpartum.,G0000000|G0000000|C0018896|C0679646|C1516698|C0450371|C0439526|C0018563|G0000000|C0006141|C0026131|C0450371|G0000000|C0026544|C0086839
"Didactic content was presented by videotape, discussion sessions were timed, and the curriculum was detailed carefully in a manual that contained all the required handouts.","Didactic content videotape, discussion sessions timed, curriculum detailed carefully manual contained required handouts.",G0000000|C0423896|C0042655|C0557061|C1883016|C0392761|C0010478|C1522508|G0000000|C0024763|C0332256|C1514873|G0000000
The study was designed as a group-sequential clinical trial.,The study designed group-sequential clinical trial.,G0000000|C0557651|C1707689|C0441833|C0205210|C0008976
The instructions in the intervention group DD included specific instructions and general tips compiled from the author’s experiences working with individuals who have used whole wheat bran consumption and reduced refined carbohydrate intake for CD symptom control.,The instructions intervention DD included specific instructions tips compiled author’s experiences individuals wheat bran consumption reduced refined carbohydrate intake CD symptom control.,G0000000|C0302828|C0886296|C3538867|C0332257|C0205369|C0302828|C0339897|G0000000|G0000000|C0596545|C0027361|C0043137|C0353942|C0009830|C0392756|C1947930|C0007004|C1512806|C0007928|C1457887|C0243148
Intravenous iron (20 mg/kg/week in conjunction with r-HuEPO yielded a higher reticulocyte count and haematocrit concentration after the forth week of life than r-HuEPO alone.,Intravenous iron (20 mg/kg/week conjunction r-HuEPO yielded reticulocyte count haematocrit concentration week life r-HuEPO alone.,C0348016|C0302583|C0450371|C0439272|C2699427|C0376541|G0000000|C0035286|C0750480|C0018935|C0004268|C0332174|C0376558|C0376541|C0205171
The analysis of SNPs was restricted to Caucasians only to address population stratification in genetic association studies.,The analysis SNPs restricted Caucasians address population stratification genetic association studies.,G0000000|C0002778|C0752046|C0443288|C0007457|C0376649|C0032659|C1514983|C0017296|C0004083|C0947630
"and placebo b.i.d., fluticasone 100 μg (50 μg, 2 inhalations b.i.d.)","placebo b.i.d., fluticasone 100 μg (50 μg, 2 inhalations b.i.d.)",C0032042|C0152277|C0082607|C1442061|G0000000|C0450371|G0000000|G0000000|C0004048|C0152277
Intestinal parasite infection was measured in fecal samples by Kato-Katz method at baseline and after three and seven months.,Intestinal parasite infection measured fecal samples Kato-Katz method baseline months.,C0021853|C0030498|C0009450|C0444706|C0015733|C0370003|C0721226|C0025663|C0168634|C0439231
"Key exploratory objectives included evaluation of the relationship between the expression of predictive and prognostic exploratory biomarkers and their association with disease status and efficacy, as defined by ORR and PFS.","Key exploratory objectives included evaluation relationship expression predictive prognostic exploratory biomarkers association disease status efficacy, defined ORR PFS.",G0000000|G0000000|C0018017|C0332257|C0220825|C0439849|C0185117|C0681890|C0220901|G0000000|C0005516|C0004083|C0012634|C0449438|C1280519|C1704788|G0000000|C0242792
"CI, confidence interval; CVD, cardiovascular disease; HR, hazard ratio; Q, quintiles; SMHS, Shanghai Men's Health Study; SWHS, Shanghai Women's Health Study.","CI, confidence interval; CVD, cardiovascular disease; HR, hazard ratio; Q, quintiles; SMHS, Shanghai Men's Health Study; SWHS, Shanghai Women's Health Study.",C0008107|C0237529|C1272706|C0007222|C0007226|C0012634|G0000000|C0598697|C0456603|G0000000|C1508496|C1824631|G0000000|C0025266|C0018684|C0557651|G0000000|G0000000|C0043210|C0018684|C0557651
"The Crawford double rhomboid technique5 using nonabsorbable 5/0 white polyester silicon-coated suture with cutting needle 1/4 circle (Polyester, Ethicon, Jestetten, Germany) was used for tying fascia lata (Figure 1) and Gore-Tex (Figure 2) to deeper tissue.","The Crawford double rhomboid technique5 nonabsorbable 5/0 white polyester silicon-coated suture cutting needle 1/4 circle (Polyester, Ethicon, Jestetten, Germany) tying fascia lata (Figure 1) Gore-Tex (Figure 2) deeper tissue.",G0000000|G0000000|C0205173|C0205121|G0000000|G0000000|G0000000|C0007457|C0032474|C0037107|C0009068|C0152060|C0027551|G0000000|C1282913|C0032474|G0000000|G0000000|C0017480|C0453920|C0015641|C0064677|G0000000|G0000000|C0018088|G0000000|G0000000|C0205125|C0040300
"Mothers were also present in the blood sampling room for groups C and TV, but were requested to not do anything to distract the children during venipuncture.","Mothers blood sampling C TV, requested distract children venipuncture.",C0026591|C0005767|C0441621|G0000000|C0040210|C1272683|G0000000|C0008059|C0190979
"Participants will also be given a 45-minute DVD made especially for this trial, with a shorter version of the class, and instructed to perform it daily.","Participants 45-minute DVD trial, shorter version class, instructed perform daily.",C0679646|C0450371|C3810531|C0008976|C1282927|C0333052|C0456387|G0000000|C0884358|C0332173
"The data related to the specific questionnaires are manually completed by the patients, and subsequently entered in the data base.","The data specific questionnaires manually completed patients, subsequently entered data base.",G0000000|C1511726|C0205369|C0034394|C3842330|C0205197|C0030705|G0000000|C1521975|C1511726|C0002055
"The POPF rate in the closed passive gravity drain group is expected to be 35% based on previous studies [2,3].","The POPF rate closed passive gravity drain expected 35% based previous studies [2,3].",G0000000|G0000000|C0871208|C0587267|C3686820|C0282189|C0013103|C1517001|C0450371|C1527178|C0205156|C0947630|G0000000
A Knight-Griffen anastomosis was fashioned in all patients who underwent resection of the rectum or sigmoid or left colon.,A Knight-Griffen anastomosis fashioned patients underwent resection rectum sigmoid left colon.,G0000000|G0000000|C0332853|G0000000|C0030705|G0000000|C0015252|C0034896|C0227391|C0205091|C0009368
"Initially, radiation was used in both arms of the trial, according to the Stanford V regimen, but it was subsequently restricted in the ABVD arm to only those patients with bulky mediastinal disease.","Initially, radiation arms trial, Stanford V regimen, subsequently restricted ABVD arm patients bulky mediastinal disease.",C0205265|C0034519|C0206655|C0008976|G0000000|G0000000|C0040808|G0000000|C0443288|C0050380|C0446516|C0030705|C0012173|C0025066|C0012634
Nine patients stopped protocol treatment because of toxicity.,Nine patients stopped protocol treatment toxicity.,C0205455|C0030705|C1272691|C0442711|C0039798|C0040539
The serum IL-4 levels were increased during treatment whereas no change was observed in IFN-γ in diabetic-hypercholesterolemic patients.,The serum IL-4 levels increased treatment change observed IFN-γ diabetic-hypercholesterolemic patients.,G0000000|C0229671|C0020898|C0441889|C0205217|C0039798|C0392747|C1441672|G0000000|C0241863|C0030705
"They had completed cancer treatment within the past 3 years (except for tamoxifen/aromatase inhibitors) and were at least 2 months post-surgery or adjuvant therapy or radiation, whichever occurred last.","They completed cancer treatment 3 (except tamoxifen/aromatase inhibitors) 2 months post-surgery adjuvant therapy radiation, whichever occurred last.",G0000000|C0205197|C0006826|C0039798|G0000000|G0000000|C0039286|C0243077|G0000000|C0439231|C0032790|C0001551|C0039798|C0034519|G0000000|C1709305|C1517741
"A high education level has been associated with increased breast cancer risk, but this may be explained by highly educated women having a high rate of nulliparity and being older at first birth.","A education level increased breast cancer risk, explained highly educated women rate nulliparity birth.",G0000000|C0013621|C0441889|C0205217|C0006141|C0006826|C0035647|G0000000|C0205250|C0039401|C0043210|C0871208|C0028641|C0005615
"PE group had a tendency for a shorter PICU stay, p = 0.094 with a comparable ability of children to walk unaided within four weeks from PICU discharge (Table (Table2).2).","PE tendency shorter PICU stay, = 0.094 comparable ability children walk unaided weeks PICU discharge (Table (Table2).2).",C0070939|G0000000|C1282927|C1046445|G0000000|G0000000|C1442061|G0000000|C0085732|C0008059|C0080331|C0439846|C0439230|C1046445|C0012621|C0039224|G0000000
"Very few studies, also with small sample sizes, have compared different glucocorticoids in either children or adults with CAH [7, 20–22], and ours is the only one to compare three different preparations in a prepubertal cohort.","Very studies, sample sizes, compared glucocorticoids children adults CAH [7, 20–22], compare preparations prepubertal cohort.",C0442824|C0947630|C0370003|C0456389|C1707455|C0017710|C0008059|C0001675|C0520463|G0000000|G0000000|C1707455|C1521827|C0233888|C0599755
None of the RCTs report on quality of life during follow-up.,None RCTs report quality life follow-up.,G0000000|G0000000|C0684224|C0332306|C0376558|C0589120
Ratings were discussed with facilitators during weekly supervision to improve intervention delivery.,Ratings discussed facilitators weekly supervision improve intervention delivery.,C0871208|C2584313|G0000000|C0332174|C0038842|G0000000|C0886296|C0011209
"burden caused by hot flushes, night sweats, and sweating in general) and physical symptoms (e.g.","burden caused hot flushes, night sweats, sweating general) physical symptoms (e.g.",C2828008|C0015127|C0444519|C0005874|C0240526|C0038984|C0038990|C0205246|C0031809|C0683368|G0000000
"Eligible patients gave written informed consent to participate, were able to eat without assistance, did not receive enteral or parenteral nutrition, and had no significant causes of secondary anorexia (defined as no severe symptoms or complications of the gastrointestinal tract impeding oral food intake) (Omlin and Strasser, 2007), as ensured by pre-baseline palliative oncology assessments.","Eligible patients written informed consent participate, eat assistance, receive enteral parenteral nutrition, secondary anorexia (defined severe symptoms complications gastrointestinal tract impeding oral food intake) (Omlin Strasser, 2007), ensured pre-baseline palliative oncology assessments.",C1548635|C0030705|C0043266|C1522154|C1511481|G0000000|C0013470|C0018896|C1514756|C1304890|C0030547|C0028707|C0027627|C0003123|C1704788|C0205082|C0683368|C0009566|C0521362|C1185740|G0000000|C0442027|C0016452|C1512806|G0000000|G0000000|G0000000|C0218063|C0332152|C0587605|C0027651|C1261322
"At present, radical hysterectomy (RH) followed by tailored adjuvant therapy and primary chemoradiation therapy (CRT) are the most frequent treatments employed for patients with bulky early-stage (stage IB2 and IIA2) cervical cancer [4].","At present, radical hysterectomy (RH) tailored adjuvant therapy primary chemoradiation therapy (CRT) frequent treatments employed patients bulky early-stage (stage IB2 IIA2) cervical cancer [4].",G0000000|C0150312|C0302912|C0020699|C0035493|C0402883|C0001551|C0039798|C0205225|C0436307|C0039798|G0000000|C0332183|C0087111|C0014003|C0030705|C0012173|C2363430|C0205390|G0000000|G0000000|C0027530|C0006826|G0000000
Subjects returned their blister cards at each weekly study visit for drug accountability and compliance review.,Subjects returned blister cards weekly study visit drug accountability compliance review.,C0681850|C0332156|C0005758|C3275277|C0332174|C0557651|C0545082|C0013227|C0078889|C0009563|C0282443
"It may be argued that standardizing the work of breathing between NAVA and PSV would have been more appropriate for our physiological comparison [39, 40].","It argued standardizing breathing NAVA PSV physiological comparison [39, 40].",G0000000|G0000000|G0000000|C0004048|G0000000|G0000000|C0205463|C1707455|C0450371|C0450371
